provider,category,ip_family,cidr,source_url,first_observed_at
zoom.us,,ipv4,3.7.35.0/25,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,3.235.82.0/23,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,3.235.96.0/23,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,15.220.80.0/24,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,15.220.81.0/25,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,18.254.23.128/25,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,18.254.61.0/25,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,20.203.158.80/28,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,20.203.190.192/26,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,52.61.100.128/25,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,64.211.144.0/24,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,64.224.32.0/19,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,69.174.108.0/22,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,101.36.167.0/24,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,101.36.170.0/23,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,103.122.166.0/23,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,111.33.115.0/25,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,111.33.181.0/25,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,115.110.154.192/26,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,115.114.56.192/26,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,115.114.115.0/26,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,115.114.131.0/26,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,121.244.146.0/27,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,134.224.0.0/16,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,137.66.128.0/17,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,144.195.0.0/16,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,147.124.96.0/19,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,149.137.0.0/17,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,156.45.0.0/17,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,159.124.0.0/16,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,160.1.56.128/25,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,161.199.136.0/22,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,162.12.232.0/22,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,162.255.36.0/22,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,166.108.64.0/18,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,168.140.0.0/17,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,170.114.0.0/16,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,173.231.80.0/20,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
zoom.us,,ipv4,192.204.12.0/23,https://assets.zoom.us/docs/ipranges/ZoomMeetings.txt,2026-09-22T08:31:18+00:00
